"State","Total.SAT.Mean.Score","Grade.13.Offered","Ungraded.Classes.Offered","Operational.Schools","Total.Revenues","State.Revenues","Federal.Revenues","Total.Current.Expenditures..TE5.","Total.Revenues.per.Pupil","State.Revenues.per.Pupil","Federal.Revenues.per.Pupil","Total.Current.Expenditures.per.Pupil","X4th.Grade.Mean.Math.Score","X4th.Grade.Mean.Reading.Score","X8th.Grade.Mean.Math.Score","X8th.Grade.Mean.Reading.Score","Classroom.Teachers..FTE.","Meeting.All.State.Licensing.Certification.Requirements..Percent.","Classroom.Teachers.in.their.First.Year.of.Teaching..Percent.","Classroom.Teachers.in.their.Second.Year.of.Teaching..Percent.","Number.of.Schools","Total.Number.Operational.School.Districts.2022.23","Total.Number.Operational.Schools","Total.Number.Operational.Charter.Schools","American.Indian.Alaska.Native.Students","Asian.or.Asian.Pacific.Islander.Students","Hispanic.Students","Black.or.African.American.Students","White.Students","Nat..Hawaiian.or.Other.Pacific.Isl..Students","Two.or.More.Races.Students","Full.Time.Equivalent..FTE..Teachers","Pupil.Teacher.Ratio","Party.Voted.for.Last.Election.Cycle"
"Alabama",1161,"No","No",1516,8703514773,4953326808,984505815,7546680182,11695,6656,1323,10140,"229.65",211.73,268.7,253.4,47203.01,99.2,5.8,4.9,4.9,155,1516,17,6256,11083,79069,238400,389358,843,25914,42021.62,17.87,"Republican"
"Alaska",1082,"No","No",498,2614818172,1660020905,384600669,2417640580,19807,12574,2913,18313,"232.31",204.37,274.34,252.39,7707.29,99.1,6.6,4,4,54,498,32,28259,6482,9844,2945,61637,4010,17546,7160.48,18.26,"Republican"
"Arizona",1183,"No","Yes",2429,12175096414,6237220096,1391547366,9830663062,10768,5516,1231,8694,"237.61",215.84,279.93,259.48,56969.03,94.9,8,7.1,7.1,685,2429,576,47816,34840,538890,64326,395129,4145,47077,49565.89,22.84,"Democrat"
"Arkansas",1192,"No","Yes",1098,5874455304,3011242117,637966568,5152467745,11822,6060,1284,10369,"233.25",215.05,274.36,258.78,34956.94,98.6,6.3,5.2,5.2,300,1098,103,2899,8711,70048,95788,289783,4956,20945,38814.62,12.7,"Republican"
"California",1083,"No","No",10327,1.00127e+11,56846136494,7933282927,86541408473,16247,9224,1287,14042,"234.72",216.48,275.61,258.83,274148.82,98.5,5.1,3.8,3.8,2114,10327,1284,NA,NA,NA,NA,NA,NA,NA,267658.51,21.86,"Democrat"
"Colorado",996,"No","No",1932,13187698566,5536044421,825554838,10636149703,14441,6062,904,11647,"241.87",224.86,284.67,267.31,51040.05,88.7,11.2,6.4,6.4,272,1932,269,5427,28471,307259,40040,442557,2639,44478,53552.5,16.26,"Democrat"
"Connecticut",1007,"No","No",1013,11884392362,4786093502,495392521,10939431848,22694,9139,946,20889,"243.26",224.35,286.16,269.72,44466.55,98.9,5.1,4.3,4.3,209,1013,21,1283,26447,154073,64421,243359,507,22905,44006.87,11.67,"Democrat"
"Delaware",958,"No","No",229,2643619512,1697106732,163490521,2347576730,18892,12128,1168,16777,"239.32",217.69,276.7,259.68,9418.98,98.7,6.2,4.8,4.8,45,229,23,579,6077,26872,43137,57288,213,7299,9991.22,14.16,"Democrat"
"District of Columbia",969,"No","Yes",244,2703715036,NA,202236561,2134996014,30082,NA,2250,23754,"234.64",214.28,269.18,249.81,5836.2,80,9.8,8.1,8.1,71,244,126,131,1322,16186,58257,12030,52,2963,8052.21,11.3,"Democrat"
"Florida",966,"No","No",4230,33934526763,13657772122,3481364845,29455335862,11872,4778,1218,10305,"245.96",224.71,278.52,263.35,161046.94,95.8,23,5.5,5.5,80,4230,740,6769,81036,1044109,601319,1014176,5043,118075,156787.43,18.31,"Republican"
"Georgia",1054,"No","No",2316,23826891752,11234259226,1947637547,20680204006,13464,6348,1101,11686,"237.65",217.98,279.49,262.39,109168.88,97.9,4,1.8,1.8,245,2316,97,3729,81425,316754,637800,628275,1831,81158,121301.1,14.43,"Democrat"
"Hawaii",1114,"No","Yes",295,3396552964,3066972314,278257594,2999577639,18756,16936,1537,16564,"238.57",217.53,275.33,258.16,11764.1,96.4,8.4,6.9,6.9,1,295,37,247,41935,31188,2293,19027,43502,32017,11983.69,14.2,"Democrat"
"Idaho",970,"No","No",795,3082137095,2032416561,298458536,2593493987,9907,6533,959,8337,"241.9",222.51,285.94,266.48,14716.68,99.3,7.1,7,7,186,795,77,3157,3539,61258,3562,234328,1058,10653,18120.62,17.52,"Republican"
"Illinois",970,"No","No",4408,39071159712,15728125935,2400823805,33895711244,20152,8112,1238,17483,"237.4",218.17,282.56,264.7,137182.69,99.4,6.3,6.1,6.1,1033,4408,134,4569,101525,508906,304621,851489,1797,77716,135363.07,13.68,"Democrat"
"Indiana",971,"No","Yes",1921,13777624050,8710782241,1031511295,11352771964,13104,8285,981,10798,"244.88",221.81,285.65,265.95,60650.8,99.5,6.6,8.2,8.2,442,1921,121,1759,29771,145546,135584,665931,1039,56478,65596.59,15.8,"Republican"
"Iowa",1208,"No","No",1327,7408114453,3930910665,530275939,6200533374,14320,7599,1025,11986,"240.69",220.5,281.67,262.33,35165.25,100,4.7,5,5,337,1327,4,1644,12741,63928,34521,370440,2917,24847,36138.08,14.15,"Republican"
"Kansas",1245,"No","Yes",1355,7358311818,4882714219,530101544,5955856554,14777,9805,1065,11960,"239.44",219.13,282.21,262.82,35604.73,98.7,6.6,6.2,6.2,338,1355,9,3585,13754,104825,32744,301935,1141,29994,37885.25,12.88,"Republican"
