"State","PTRatio","SAT","Grade13","Ungraded","Revenues","PupilExpenditures","MathScore","ReadingScore","Election2020","FTETeacher"
"Alabama",17.87,1161,"No","No",8.703514773,10140,268.7,253.4,"Republican",42.02162
"Alaska",18.26,1082,"No","No",2.614818172,18313,274.34,252.39,"Republican",7.16048
"Arizona",22.84,1183,"No","Yes",12.175096414,8694,279.93,259.48,"Democrat",49.56589
"Arkansas",12.7,1192,"No","Yes",5.874455304,10369,274.36,258.78,"Republican",38.81462
"California",21.86,1083,"No","No",100.127,14042,275.61,258.83,"Democrat",267.65851
"Colorado",16.26,996,"No","No",13.187698566,11647,284.67,267.31,"Democrat",53.5525
"Connecticut",11.67,1007,"No","No",11.884392362,20889,286.16,269.72,"Democrat",44.00687
"Delaware",14.16,958,"No","No",2.643619512,16777,276.7,259.68,"Democrat",9.99122
"District of Columbia",11.3,969,"No","Yes",2.703715036,23754,269.18,249.81,"Democrat",8.05221
"Florida",18.31,966,"No","No",33.934526763,10305,278.52,263.35,"Republican",156.78743
"Georgia",14.43,1054,"No","No",23.826891752,11686,279.49,262.39,"Democrat",121.3011
"Hawaii",14.2,1114,"No","Yes",3.396552964,16564,275.33,258.16,"Democrat",11.98369
"Idaho",17.52,970,"No","No",3.082137095,8337,285.94,266.48,"Republican",18.12062
"Illinois",13.68,970,"No","No",39.071159712,17483,282.56,264.7,"Democrat",135.36307
"Indiana",15.8,971,"No","Yes",13.77762405,10798,285.65,265.95,"Republican",65.59659
"Iowa",14.15,1208,"No","No",7.408114453,11986,281.67,262.33,"Republican",36.13808
"Kansas",12.88,1245,"No","Yes",7.358311818,11960,282.21,262.82,"Republican",37.88525
"Kentucky",15.34,1208,"No","Yes",8.757350435,11370,278.1,262.96,"Republican",43.02255
"Maine",11.44,1080,"No","No",3.1806723,16067,282.37,265.17,"Democrat",15.19239
"Maryland",14.3,1008,"No","No",17.015238207,15926,280.15,264.39,"Democrat",62.23647
"Massachusetts",12,1112,"Yes","Yes",19.782831164,19747,294.47,273.11,"Democrat",76.97764
"Michigan",16.7,967,"No","Yes",22.091387644,12323,280.28,262.58,"Democrat",85.87991
"Minnesota",15.5,1201,"No","No",14.825589847,13502,290.79,263.81,"Democrat",56.1238
"Mississippi",13.04,1184,"No","Yes",5.032201128,9614,273.73,256.38,"Republican",33.76764
"Missouri",12.78,1191,"No","No",12.347541396,11397,280.76,263.29,"Republican",69.83757
"Montana",13.66,1193,"No","No",2.054110041,12065,283.96,264.83,"Republican",11.03553
"Nebraska",13.77,1252,"No","No",4.849887781,12829,285.01,263.99,"Republican",23.91092
"Nevada",20.98,1166,"No","Yes",5.712602991,9548,273.79,258.08,"Democrat",23.07646
"New Hampshire",11.47,1035,"Yes","No",3.382783772,17825,287.22,267.95,"Democrat",14.7314
"New Jersey",11.76,1066,"No","Yes",33.682075901,21385,291.82,270.36,"Democrat",117.66134
"New Mexico",14.6,901,"No","No",4.796238275,11617,268.77,251.7,"Democrat",21.57155
"New York",11.74,1039,"No","Yes",76.96193135,25273,280.41,261.75,"Democrat",215.761
"North Carolina",15.42,1127,"Yes","Yes",16.424984765,9903,283.66,262.53,"Republican",99.97981
"North Dakota",12.37,1287,"No","No",1.934394803,14252,285.56,263.23,"Republican",9.58108
"Ohio",16.42,1044,"No","No",26.417646707,13729,285.71,267.05,"Republican",102.32267
"Oklahoma",16.65,953,"No","No",7.57049739,9395,276.47,258.2,"Republican",42.1244
"Oregon",17.87,1125,"No","No",9.249697595,12838,279.5,263.72,"Democrat",30.90633
"Pennsylvania",13.33,1078,"No","Yes",34.047550312,17172,285.02,264.18,"Democrat",127.03702
"Rhode Island",12.74,958,"No","No",2.745635876,17725,275.67,262.15,"Democrat",10.78553
"South Carolina",14.11,1028,"No","No",11.177350839,11168,276.35,258.98,"Republican",55.94658
"South Dakota",13.83,1208,"No","No",1.747682661,10392,287.09,262.77,"Republican",10.26146
"Tennessee",15.3,1191,"No","No",11.113864008,9974,280.08,262.46,"Republican",65.78077
"Texas",14.78,978,"No","Yes",70.617931164,10394,279.65,255.74,"Republican",373.33235
"Utah",22.2,1239,"No","No",6.839132796,8287,284.93,267.42,"Republican",31.16398
"Vermont",10.54,1099,"No","No",1.896965598,22124,286.6,268.48,"Democrat",7.93386
"Virginia",13.6,1113,"No","No",18.145001628,12941,287.06,261.8,"Democrat",92.651
"Washington",17.23,1081,"No","No",20.157771006,14542,285.81,266.28,"Democrat",63.27168
"West Virginia",13.46,923,"No","No",3.78328336,12647,272.35,255.62,"Republican",18.66966
"Wisconsin",13.71,1236,"No","No",13.082030791,12794,288.66,267.38,"Democrat",60.01117
"Wyoming",12.65,1200,"No","No",1.830236331,16665,286.31,264.64,"Republican",7.31203
